imdb_id,original_title,vote_average,vote_count,status,release_date,revenue,runtime,backdrop_path,budget,homepage,original_language,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,top_casts,director
tt0368891,National Treasure,6.605,5850,Released,19/11/2004,347512318,131,/xXWT0je8dTFFNBq6P2CeTZkPUu2.jpg,100000000,http://movies.disney.com/national-treasure,en,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",29.091,/pxL6E4GBOPUG6CdkO9cUQN5VMwI.jpg,The greatest adventure history has ever revealed.,"Adventure, Action, Thriller, Mystery","Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films, Junction Entertainment",United States of America,"Latin, English, Spanish","Nicolas Cage, Diane Kruger, Justin Bartha",Jon Turteltaub
tt1959490,Noah,5.653,5846,Released,07/03/2014,362637473,138,/5z75Q6nqgwgYfpMB9fVHQcw9gMz.jpg,125000000,,en,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,28.882,/trtD17IqSWV9Nbn4OILztc9GuCX.jpg,The end of the world is just the beginning.,"Drama, Adventure","Disruption Entertainment, Paramount, Regency Enterprises, Protozoa Pictures",United States of America,English,"Russell Crowe, Jennifer Connelly, Emma Watson",Darren Aronofsky
tt0119396,Jackie Brown,7.353,5824,Released,25/12/1997,39673162,154,/mXELcGjyU0osFfUCiz1YdAn470M.jpg,12000000,,en,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan — with help from a bail bondsman — to keep the money for herself.",22.8,/ewbLUXvm4riZL0aepy90o0vMesn.jpg,Six players on the trail of a half million in cash. There's only one question... Who's playing who?,Crime,"Miramax, A Band Apart, Lawrence Bender Productions, Mighty Mighty Afrodite Productions",United States of America,English,"Pam Grier, Samuel L. Jackson, Robert Forster",Quentin Tarantino
tt11866324,Prey,7.762,5821,Released,02/08/2022,0,100,/7ZO9yoEU2fAHKhmJWfAc2QIPWJg.jpg,65000000,https://www.20thcenturystudios.com/movies/prey,en,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",154.579,/ujr5pztc1oitbe7ViMUOilFaJ7s.jpg,They hunt to live. It lives to hunt.,"Thriller, Action, Science Fiction",20th Century Studios,United States of America,"English, French","Amber Midthunder, Dakota Beavers, Dane DiLiegro",Dan Trachtenberg
tt0087363,Gremlins,7.09,5819,Released,08/06/1984,153083102,106,/snWVsaFeodcftpSpztwhcbpypXG.jpg,11000000,,en,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, unleashing a horde of mischievous gremlins on a small town.",28.718,/3iUgvvtB01BuTntPOBcG64kYk6y.jpg,"Don't get him wet, keep him out of bright light, and never NEVER feed him after midnight.","Fantasy, Horror, Comedy","Amblin Entertainment, Warner Bros. Pictures",United States of America,"English, Spanish","Zach Galligan, Phoebe Cates, Hoyt Axton",Joe Dante
tt2386490,How to Train Your Dragon: The Hidden World,7.761,5817,Released,03/01/2019,524580592,104,/lFwykSz3Ykj1Q3JXJURnGUTNf1o.jpg,129000000,https://www.howtotrainyourdragon.com/,en,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",61.84,/xvx4Yhf0DVH8G4LzNISpMfFBDy2.jpg,The friendship of a lifetime,"Animation, Family, Adventure","DreamWorks Animation, Mad Hatter Entertainment",United States of America,English,"Jay Baruchel, America Ferrera, F. Murray Abraham",Dean DeBlois
tt0095953,Rain Man,7.756,5814,Released,12/12/1988,354825435,134,/mrfbeWcjgSaZ9NEb0xJMR9xzSeB.jpg,25000000,,en,"When car dealer Charlie Babbitt learns that his estranged father has died, he returns home to Cincinnati, where he discovers that he has a savant older brother named Raymond and that his father's $3 million fortune is being left to the mental institution in which Raymond lives. Motivated by his father's money, Charlie checks Raymond out of the facility in order to return with him to Los Angeles. The brothers' cross-country trip ends up changing both their lives.",21.798,/iTNHwO896WKkaoPtpMMS74d8VNi.jpg,A journey through understanding and fellowship.,Drama,"United Artists, Star Partners II Ltd.",United States of America,"Italian, English","Dustin Hoffman, Tom Cruise, Valeria Golino",Barry Levinson
tt0055254,One Hundred and One Dalmatians,7.162,5812,Released,25/01/1961,85000000,82,/vlLW4BPPS6XL8mxAvoJSppJV3Sv.jpg,4000000,http://movies.disney.com/101-dalmatians-1961,en,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.  In a Disney animation classic, Dalmatian Pongo is tired of his bachelor-dog life. He spies lovely Perdita and maneuvers his master, Roger, into meeting Perdita's owner, Anita. The owners fall in love and marry, keeping Pongo and Perdita together too. After Perdita gives birth to a litter of 15 puppies, Anita's old school friend Cruella De Vil wants to buy them all. Roger declines her offer, so Cruella hires the criminal Badun brothers to steal them -- so she can have a fur coat.",38.721,/mRY84MJeWKnp9joev82QtslJFvk.jpg,The Canine Caper of the Century,"Adventure, Animation, Comedy, Family",Walt Disney Productions,United States of America,English,"Rod Taylor, J. Pat O'Malley, Betty Lou Gerson",Wolfgang Reitherman
tt0061852,The Jungle Book,7.276,5809,Released,18/10/1967,205843612,78,/mdcZu40eNYXHYfakT2IJRocKuNw.jpg,4000000,http://movies.disney.com/the-jungle-book-1967,en,"The boy Mowgli makes his way to the man-village with Bagheera, the wise panther. Along the way he meets jazzy King Louie, the hypnotic snake Kaa and the lovable, happy-go-lucky bear Baloo, who teaches Mowgli ""The Bare Necessities"" of life and the true meaning of friendship.",55.91,/yN1kuupnPTLUprgfvC5WapgrxG4.jpg,The Jungle is JUMPIN'!,"Family, Animation, Adventure",Walt Disney Productions,United States of America,English,"Phil Harris, Sebastian Cabot, Louis Prima",Wolfgang Reitherman
tt0120804,Resident Evil,6.61,5803,Released,15/03/2002,102984862,100,/l5KvxFVOru3Qyf3dl2asNw5g1MD.jpg,33000000,https://www.sonypictures.com/movies/residentevil,en,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak.",22.662,/1UKNef590A0ZaMnxsscIcWuK1Em.jpg,A secret experiment. A deadly virus. A fatal mistake.,"Horror, Action, Science Fiction","Impact Pictures, Davis Films, New Legacy Film, Constantin Film, FFA, Filmboard Berlin-Brandenburg (FBB), FFF Bayern","Canada, France, Germany, United Kingdom",English,"Milla Jovovich, Michelle Rodriguez, Eric Mabius",Paul W.S. Anderson
